  0.085,   0.010056
  0.170,   0.038772
  0.254,   0.082564
  0.339,   0.135930
  0.424,   0.192263
  0.509,   0.244747
  0.594,   0.287253
  0.679,   0.315099
  0.763,   0.325581
  0.848,   0.318205
  0.933,   0.294589
  1.018,   0.258098
  1.103,   0.213256
  1.188,   0.165057
  1.272,   0.118281
  1.357,   0.076905
  1.442,   0.043702
  1.527,   0.020050
  1.612,   0.005969
  1.696,   0.000341
  1.781,   0.001257
  1.866,   0.006425
  1.951,   0.013559
  2.036,   0.020700
  2.121,   0.026418
  2.205,   0.029902
  2.290,   0.030925
  2.375,   0.029729
  2.460,   0.026863
  2.545,   0.023000
  2.629,   0.018795
  2.714,   0.014776
  2.799,   0.011291
  2.884,   0.008510
  2.969,   0.006454
  3.054,   0.005054
  3.138,   0.004203
  3.223,   0.003794
  3.308,   0.003747
  3.393,   0.004006
  3.478,   0.004529
  3.562,   0.005266
  3.647,   0.006144
  3.732,   0.007062
  3.817,   0.007891
  3.902,   0.008498
  3.987,   0.008765
  4.071,   0.008616
  4.156,   0.008032
  4.241,   0.007060
  4.326,   0.005805
  4.411,   0.004412
  4.496,   0.003040
  4.580,   0.001835
  4.665,   0.000904
  4.750,   0.000303
  4.835,   0.000029
  4.920,   0.000033
